episode_id,word_count,start_time,end_time
6tM2FXM5yF1PZvOWAv2b3w,6825,2.6,3013.0
2Tmq8RA8Jue3Yu8FUgMKff,12227,0.8,4677.3
7sa1iyv0Vf0jm1mRXl4ZNV,12409,6.3,4713.3
3BcrrtZvAHKwN60fMUIZUQ,7653,0.6,2782.7
7mBQoVtgq0Kv05ycT6gn95,7650,0.8,4074.8
3SCCvALD0X3SjZ56WG6ffq,13632,2.1,5034.2
77pcdmYdd7TalmpF9zOa4v,6279,2.4,2497.8
4XYKci8molea2g28DZioNw,5720,0.3,2078.7
3cLTf9H3ZfzgrVTwIrZ8Om,10349,0.7,3929.7
1ZfSiAbDR9Q2K93UvIhVdR,78,2.2,26.2
4VQ7bPPx8hsxRWhnkobO7e,5480,5.0,1846.6
4ETnpt8Rv3cg9wcpCyLp64,4946,3.1,1787.8
71wXj9x9ctJwIoY6pc6q6r,4636,0.1,1592.3
38ZxdEFLwmKYYJXnZKmJfC,15296,0.0,4847.1
4BL1evHZB22nyHme42pyd0,16460,10.7,4768.1
2ovq76OYMYqT9yMgoezKpt,10471,0.0,3395.2
4Malge9bG1nQEpSvaDxjtd,9037,10.4,3425.5
1RLFNdtjyLdWiWMyVUe9um,17522,12.3,5152.1
6OPME8BPFsCqmxRU1Di8g1,13200,20.3,4056.8
0JC2W2zHc6vdNBQiC2R2CH,13215,10.8,3684.5
5PBocwx3ICgwdSVojSb3lv,13363,15.2,3958.2
7lMhlNs6JrDCzQutjPctEx,11792,15.4,3668.7
6XhxBZI213gR2OBdWIhJwQ,17292,15.3,4737.7
202c59yzWEqrd8hEoOxGi2,623,17.0,212.6
2oJHxqlzXSJz5Nb4P6dGgi,13744,11.4,3860.9
35GcdeuCSajzL8RdKBnGQD,10949,11.7,3272.3
4iIlqT8JPhAb4IIvuDPQ3u,12461,15.1,3656.6
4TDwbULiROSA7YOxzPdt5u,9975,13.4,3279.1
0NwMvx41jgONR6ebxEHpFk,7991,16.5,2678.3
13PvXvIlCbfjwdOkhtmELS,8668,20.3,2794.1
6gswKV6ZOVxesrb8mzCiUw,11000,15.8,3392.8
2MCC3IzBxxH5x2mgSStmSa,17425,22.9,5150.7
0KYNgvxEyNv90How57pydO,9512,19.8,2777.1
6IFbhUc1lP4UbNwQEgCSgx,11256,17.8,3878.5
1u8CAnbMnbCu6zZWkcv9lH,1049,12.9,430.0
42srQ78dIYBWvdMwsZBHP5,436,2.5,331.8
0nROr74ETKMXRkcmKeE31Y,1308,4.5,645.7
5WMqnUPlbxiraECOyJ7s5v,1927,1.3,780.5
5GA8YbBNOsl2FhgXesHaYO,2268,1.8,1225.2
4rkyqSzTJ2BOb7hr7H4P6F,1295,6.2,597.1
6klNKTwniwZ44RXCV7Ztsf,2902,5.4,998.2
5h3C4V9UWbCb1HFC55mkp8,3763,2.9,1361.4
7lCtKUeUHktQCK6q1Q9cna,2414,0.2,988.2
055rnSilHbcMlBK40PK4sN,12430,27.1,5291.4
2WKfbkOgGFKo6aebTa8VkD,1850,27.0,847.7
3Qvr2ahLrSdFiZU3EgCWW5,10418,0.6,2953.1
1j2b4Z5NTz8wyV24zr7qJW,8789,5.6,3564.4
69LpiWi1QAH84e57QvHGt6,1400,7.3,691.2
2UkprK1dnlUMAqXqFvOdx0,2013,7.6,1030.3
5btLpqqeuWcYE6bBWXFb1U,1203,0.8,558.0
0IZdRaWAoySXHQQmOEBw2E,154,4.2,65.1
1FHEWj3Z6KtYMbMhYohMfj,3693,16.5,1933.4
