episode_id,word_count,start_time,end_time
50zAFRjjjaPHkhV3FQ38yx,4546,0.4,1660.2
5LoPDa2kawxSmjsZmgoIcc,9148,0.3,3361.7
5hGPMmSE3QwFMwQi6oFqR9,7964,0.6,2731.2
3cjcsYhKGm88raXdWbN2QL,6694,4.9,2772.0
1nd1GH2uGdxjwn2oQjgYy2,367,4.8,201.1
1ADxufvQO2vDtsRY7ZxAb7,6350,6.6,2556.2
5eyvxQfpHCA1zW8zEGASAF,2575,5.0,1103.0
62KLRsbn4v4RnPE6bsMZyy,7222,0.6,2538.6
7qRlBgVYd3BNgOWtBq3t1m,7116,0.4,2647.8
5As9MWc9YnaKcvAOqLUiyK,4941,5.1,2101.2
4LQcc5qks0ETWbtcmY52RC,6631,0.3,2668.1
08wKU92ZSroMrUKYhspiac,4817,4.1,2016.2
3FqtEhzgpufzdCZaia5q1E,9770,0.2,3173.2
7eAyoIFBfFhUYOPejYiR8z,7151,0.6,2752.6
7FZrgVSZPwdvGTa1tWouxS,7502,0.3,2720.9
5EN0h115IVD4mB1PgEhkZR,2474,0.2,922.6
7FzBN69S1FrLCvpEyDLxWw,2053,0.3,949.8
5rYvvk6QR4lzSZMrPUVp1D,6256,0.3,2268.9
3VE4lufhg5EhbfNPAMXJqc,5443,5.1,2238.6
52uSewgS69bhblT7ZlbYTD,3383,0.2,1259.9
16ddiWAC0wFI9APHuFPwn2,6687,6.6,2510.4
4otbIBanY1ke8ElCtLCQ2S,6246,5.0,2131.5
3UgF3i02mMdReFb5MCoWDd,5739,0.5,1763.7
1yj6z4Sjb35nUx55qOGKQ6,5884,4.1,2671.3
3BKXtlipKPfvMrfJA5ayRB,10876,0.5,3612.7
242Zr6UVwq4zw0pwuvQpyt,12433,0.0,3560.5
1OI7mweTwh1P9an9JSSHHk,3910,0.5,1182.2
0MXMZextgsNbuI9RUqhTjE,11254,1.1,3272.6
00Lt9P3nhwVczIj0nVd5Hp,1302,1.2,470.3
4dRQmAb8b8BC8mlZaZ9Qvu,4406,6.9,1428.8
75XQsZUrFzEq9Mc2onm0jj,2278,1.1,780.7
58PtYgJdPkXJ3H1MCVdaGu,1558,1.1,515.0
36cvc8CS8NukpnRtAGVhof,13016,1.1,4033.5
5GOdbECjgSocbVSFn9lP9T,7193,0.3,2155.4
2XKZGuSj7ogIwsOY1htKrS,1856,0.1,676.4
3lNJZZ1HS70Ut1cUNHGD68,5190,0.2,2087.4
41wYPitJC553umMACfFhox,7374,1.1,2304.0
03xqMw40qPywHLa3uDYpBT,8544,0.1,3048.9
2YKNE1hLKMpmRrJIfU4L2i,2509,0.3,891.1
3bSzJ415k3ak7QReUuqMSN,5399,0.3,1746.3
4rrm49vFSWBvaiaGT1Gphw,8354,1.1,3028.1
3Sg6hwjp9OlxfEvTdqgFwJ,9499,0.1,3714.0
4RNU7wHB0drejJpN7blO1j,5032,1.1,1670.8
7tqQ2y2P03DROV0Y4SWpIa,2116,0.1,729.7
4Rqv6acAganRoWekM7HT3i,854,1.1,300.3
41OAvVzuzBxyP41DaeioNw,7164,0.0,2155.2
1u8nldR8aDNT0c5vw221LQ,385,1.2,158.8
4tiijoQkFiDruAOhIpfFWd,8425,0.1,2798.1
2xHjTIC3NOckYCaNUYg63o,6865,0.0,2087.4
1y2Log7LjzKZO0VqfySwia,3120,0.3,1076.9
5sKPlvZuaalbTsWHUtdR4W,8106,1.1,2527.7
